Restaurant_Name,City,Place_Name,Cuisine,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Avg_Price_Restaurant,Restaurant_Popularity
La Pino'z Pizza, Jaipur,C Scheme,Fast Food,4.0,3.8,164,0,216.2983870967742,868
Laziz Chicken Food Restaurant, Jaipur,Jhotwara,Chinese,4.0,3.8,335,0,203.64444444444445,90
Laziz Pizza, Jaipur,Gopalpura,Beverages,3.8,3.9,833,0,157.94444444444446,72
Marky Momos, Jaipur,C Scheme,Beverages,3.1,4.1,16,0,476.5212345679012,567
McDonald's, Jaipur,Crystal Palm Mall,Beverages,3.8,4.0,726,0,264.2809762020398,2059
Mini Punjabi, Jaipur,Sodala,Mughlai,4.0,3.7,69,0,137.33783783783784,74
Ohh Taco, Jaipur,Gopalpura,Shake,3.822264031240087,3.3,0,37,138.75,128
Pandit Pav Bhaji, Jaipur,C Scheme,South Indian,3.6,3.6,137,0,104.41176470588236,34
Pizza And Burger King, Jaipur,Brahmpuri,Beverages,3.9,3.7,4,839,209.6694214876033,121
Pizza Baker's, Jaipur,Raja Park,Pizza,4.2,4.0,29,0,234.10698924731184,93
Pizza Bar, Jaipur,Sodala,Fast Food,3.5,3.9,8,607,256.542463768116,69
Pizza Bites, Jaipur,Sodala,Fast Food,3.5,3.9,7,0,251.6715286624204,157
Pizza Hut, Jaipur,MI Road,Beverages,3.6,3.8,782,0,287.27036211699163,1077
Pizza Unlimited, Jaipur,Pink City,Beverages,3.0,3.6,14,0,140.80672268907563,119
Punjabi Tadka, Jaipur,Malviya Nagar,Mughlai,3.8,3.8,196,0,200.4192307692308,156
RJ Chai Wala, Jaipur,Jhotwara,Street Food,3.822264031240087,4.1,0,267,48.15,100
RR62 - Cafe & Kitchen, Jaipur,Pink City,Beverages,4.2,3.8,177,0,206.9160305343512,131
Rawat Mishthan Bhandar, Jaipur,Sindhi Camp,Street Food,3.822264031240087,4.2,0,213,176.4448669201521,263
Roll Express, Jaipur,C Scheme,Rolls,3.822264031240087,4.0,0,0,221.2676056338028,71
RollsKing, Jaipur,Raja Park,Beverages,3.822264031240087,4.2,0,229,211.08783783783784,74
Rominus Pizza And Burger, Jaipur,C Scheme,Fast Food,3.7,4.0,35,0,307.86444924406044,463
Roop Basant Pavitra Bhojnalaya, Jaipur,Gopalbari,Beverages,3.2,3.9,126,0,113.5897435897436,117
Sai Chaap Soya, Jaipur,Ajmer Highway,Rolls,3.8,3.4,7,602,154.17094736842105,95
Sardaar Ji Chicken Co., Jaipur,Malviya Nagar,Bbq,2.8,3.6,10,0,339.92424242424244,198
Sethi Bar-Be-Que, Jaipur,Bani Park,Rolls,3.822264031240087,4.0,0,0,330.2021857923497,183
Shofu - The Momo Man, Jaipur,Lal Kothi,Beverages,4.2,4.2,104,0,192.8987341772152,79
Shri Shyam Bhature Wala, Jaipur,Vaishali Nagar,North Indian,3.822264031240087,4.2,0,0,110.82142857142856,28
Sodhani Sweets And Namkeen, Jaipur,Gopalpura,Street Food,3.7,4.3,8,0,196.47593333333333,150
Sodhani Sweets Pvt. Ltd., Jaipur,Bapu Nagar,Mithai,3.822264031240087,4.4,0,0,198.1197575757576,165
St. Louis Pizza, Jaipur,Bais Godam,Beverages,3.822264031240087,3.4,0,225,198.81944444444449,144
Subway, Jaipur,C Scheme,Beverages,4.1,3.9,608,0,245.1002430133657,823
Swadesi Station, Jaipur,Bais Godam,Hyderabadi,3.822264031240087,4.1,0,743,237.7704918032787,122
Swat Pizza, Jaipur,Sodala,Beverages,4.0,3.9,105,0,252.0405405405405,74
Talk Of The Town, Jaipur,MI Road,Biryani,4.1,4.2,0,0,378.12820512820514,156
Tan-Sukh By Kanha, Jaipur,C Scheme,Desserts,4.1,4.1,301,0,231.99630996309963,271
Tapri Pratham, Jaipur,Lal Kothi,Beverages,4.1,4.3,692,0,232.29357798165137,109
Thali and More, Jaipur,C Scheme,Beverages,4.7,4.1,0,0,266.71154285714283,175
The Busy Beans, Jaipur,Raja Park,Burger,3.9,3.7,65,691,167.99894736842106,95
The Messy Door, Jaipur,Shastri Nagar,Beverages,4.2,4.0,901,0,215.7483870967742,155
The Momoz Hub, Jaipur,C Scheme,Beverages,3.822264031240087,4.0,0,183,280.30857142857144,700
The Pizza Station, Jaipur,Jhotwara,Chinese,4.0,4.0,119,0,206.4948453608248,97
The Pizza Unlimited, Jaipur,Pink City,Street Food,3.4,4.0,550,0,265.88652482269504,141
The Waffle Bite, Jaipur,Bais Godam,Fast Food,3.822264031240087,4.1,0,168,124.22388059701493,134
The Yellow House - The Robot Restaurant, Jaipur,C Scheme,Beverages,3.9,3.3,0,0,327.6770833333333,96
Tipsy Restaurant, Jaipur,Vidhyadhar Nagar,South Indian,3.7,4.1,169,0,201.4245810055866,179
U & Me Soya Chaap, Jaipur,Raja Park,North Indian,2.9,4.1,7,0,161.77966101694915,59
Unlimited Pizza & Fast Food Corner, Jaipur,Pink City,Street Food,3.822264031240087,4.0,0,59,267.9193548387097,124
Unlimited Pizza and Fast Food Corner, Jaipur,Amer Road,Street Food,3.822264031240087,3.9,0,56,115.08333333333331,72
Vaishnav Dhaba, Jaipur,Gopalpura,South Indian,3.822264031240087,3.9,0,0,169.92727272727274,110
Victorian Bakery, Jaipur,Jawahar Nagar,Street Food,3.822264031240087,4.1,0,0,99.45736434108528,129
12 To 12 BBQ, Kochi,Panampilly Nagar,Biryani,4.0,4.0,104,0,273.3641975308642,162
Al Taza, Kochi,Kaloor,Beverages,4.4,4.4,367,0,173.8235294117647,34
Arabian Dreams, Kochi,Kadavanthra,Shawarma,2.9,3.6,11,0,158.81379310344826,145
Baskin Robbins - Ice Cream Desserts, Kochi,Centre Square Mall,Beverages,3.822264031240087,4.4,0,487,209.98577142857144,175
Baskin Robbins - Ice Cream Desserts, Kochi,Centre Square Mall,Beverages,3.822264031240087,4.5,0,488,209.98577142857144,175
Bektash Turkishcafe, Kochi,Marad,Kebab,4.2,4.2,621,0,153.69346733668343,199
Bektash Turkishcafe, Kochi,Chittoor Road,Juices,4.2,4.1,266,0,153.69346733668343,199
Beyondburg Inc, Kochi,Palarivattom,Continental,3.9,4.4,14,0,306.4833333333333,60
Big Fat Momo, Kochi,Kacheripady,Fast Food,4.3,4.1,426,0,140.9746835443038,158
Biriyani Bash, Kochi,Vyttila,Biryani,3.6,3.1,7,870,183.3783783783784,37
Buhari Special Juice, Kochi,Palarivattom,Beverages,4.0,4.3,74,0,85.625,32
Burger King, Kochi,MG Road,Beverages,3.9,4.2,755,0,254.63289940828403,1352
Burger Spot, Kochi,GCDA Shopping Complex,Beverages,3.9,3.8,7,801,286.8151260504202,119
Burgeria, Kochi,Kaloor,Beverages,4.0,4.3,29,0,233.27777777777777,54
CEE YEM Bakers, Kochi,Palluruthy,Mandi,2.7,3.6,6,845,121.15315315315316,111
Cafe 17, Kochi,Ravipuram,Beverages,4.6,4.1,259,0,276.1375661375661,189
Cafe Durbar AFC, Kochi,Pallimukku,Beverages,3.8,3.7,36,0,202.01734693877552,196
Calicut Notebook, Kochi,Kaloor,Biryani,3.9,4.0,121,0,249.0986842105264,152
Ceylon Bake House, Kochi,Marine Drive,Rolls,4.0,3.7,415,0,271.7842465753425,292
Cups & Cones, Kochi,Vyttila,Beverages,4.1,4.0,70,0,171.33333333333334,150
Dindigul Thalappakatti, Kochi,Panampilly Nagar,Beverages,3.822264031240087,4.0,1,0,322.4486206896552,145
Domino's Pizza, Kochi,Ravipuram,Desserts,3.2,3.7,367,0,305.0587038327526,1435
Donut Factory, Kochi,Panampilly Nagar,Beverages,3.9,4.1,381,0,228.5493827160494,162
Dream Cutlets, Kochi,Fort Kochi,Fast Food,3.822264031240087,4.6,0,449,51.18518518518518,27
Empire Plaza, Kochi,Marad,South Indian,3.3,3.6,69,0,218.7078189300412,243
FFC, Kochi,Palarivattom,Burger,3.822264031240087,3.7,2,951,283.0123456790124,81
Falooda Nation, Kochi,Kaloor,Beverages,3.6,3.9,12,0,200.1386138613861,101
Firebirds, Kochi,Palarivattom,Beverages,3.822264031240087,4.3,1,80,194.0625,32
Gokul Oottupura, Kochi,Pallimukku,Shake,4.0,4.0,73,0,166.63291139240508,158
Golden Dragon, Kochi,Ravipuram,Desserts,4.0,4.2,248,0,257.59071729957805,237
Grameen Kulfi, Kochi,Panampilly Nagar,Desserts,3.822264031240087,4.3,0,88,105.47714285714288,28
Haji Ebrahim, Kochi,Kaloor,Juices,3.8,4.1,49,0,104.375,72
Hotel Topform, Kochi,Thopumpady,Shake,3.822264031240087,3.9,0,0,229.1551724137931,174
Hoy Punjab, Kochi,Kacheripady,Beverages,4.3,3.7,163,596,434.66584507042256,142
Jugos, Kochi,Palluruthy,Beverages,3.822264031240087,4.0,2,477,124.65,100
Juicy, Kochi,Thopumpady,Desserts,4.0,4.3,0,269,113.94736842105264,76
KFC, Kochi,Centre Square Mall,Beverages,3.9,4.1,465,0,349.67315579227693,751
Kunafa World, Kochi,Panampilly Nagar,Desserts,3.8,4.4,11,751,438.9795918367347,49
Let's Eat Bakers, Kochi,Panampilly Nagar,Sandwich,3.822264031240087,4.4,0,0,177.87974683544303,158
Madheena Fried Chicken, Kochi,Elamakkara,Biryani,3.822264031240087,3.8,0,203,420.46153846153845,13
Manchatti Restaurant, Kochi,Ernakulam City,Desserts,3.0,3.0,4,279,284.5820895522388,67
McDonald's, Kochi,MG Road,Desserts,3.6,4.0,264,0,264.2809762020398,2059
Meera's Kitchen, Kochi,MG Road,Biryani,3.1,3.2,9,0,209.93859649122808,114
Meltyway, Kochi,Mattancherry,Fast Food,4.2,3.5,68,657,151.87573964497042,169
NIC Ice Creams, Kochi,Panampilly Nagar,Desserts,3.822264031240087,4.4,0,0,196.3634210526316,228
Nellikka Cloud Kitchen, Kochi,Kaloor,Kerala,3.822264031240087,4.3,0,0,72.3913043478261,23
Nellikka Restaurant, Kochi,Kadavanthra,Kerala,3.6,4.4,2,0,76.85185185185185,27
P60, Kochi,Panampilly Nagar,Desserts,4.3,4.0,486,0,237.3571428571429,42
Pai Brothers 36 Varities Of Dosa, Kochi,Kadavanthra,Kerala,3.7,4.0,138,0,139.02061855670104,194
Pai Brothers Fast Food, Kochi,MG Road,Street Food,4.1,4.2,528,0,141.9387755102041,196
Paputty's Valsa Cafe, Kochi,Kacheripady,Chinese,4.0,4.0,62,0,133.8913043478261,46
Payasam Kada - Taste Trees, Kochi,Palarivattom,Desserts,3.8,4.1,35,0,168.88888888888889,9
Pitaworks, Kochi,Kacheripady,Fast Food,3.6,4.1,12,471,197.625,16
Pizza Hut, Kochi,Centre Square Mall,Beverages,3.7,3.4,390,0,287.27036211699163,1077
Pizza Ricotta, Kochi,Thopumpady,Fast Food,3.822264031240087,2.5,0,7,306.6666666666667,21
Pizzaman, Kochi,Edappally,Beverages,2.8,4.0,7,479,345.5360824742268,97
Porkeato De Portico, Kochi,Palarivattom,South Indian,3.6,4.0,11,321,250.8333333333333,48
Quick Snacks, Kochi,Kadavanthra,Beverages,3.7,3.4,45,0,126.48101265822784,79
Raw Squeezed, Kochi,Vyttila,Salad,3.822264031240087,4.4,3,0,208.75,116
Real Arabia, Kochi,Palarivattom,Juices,4.0,3.5,291,0,235.32453416149067,161
Rizo Resto, Kochi,Kacheripady,Shake,3.9,4.3,5,124,199.36666666666667,90
Rumaan Restaurant, Kochi,Kaloor,Beverages,3.4,3.7,14,0,138.6086956521739,46
Salkara Xpress By Paragon Group, Kochi,Vyttila,South Indian,3.822264031240087,4.2,0,0,167.66666666666666,6
Shap Food Restaurant, Kochi,Vyttila,Biryani,3.5,3.8,53,874,228.1095890410959,73
Shawarma Daddy, Kochi,Edappally,Beverages,3.6,4.0,44,0,176.88974358974357,39
Sheikh Shawarma, Kochi,Kadavanthra,Kerala,3.822264031240087,3.7,3,220,179.96062992125985,127
Sijis Pizza Street, Kochi,Edappally,Fast Food,3.8,4.1,41,0,345.05123456790125,81
Sukumar Food Court, Kochi,Tripunithura,Sichuan,3.9,3.6,70,0,62.888888888888886,9
Tea Shack, Kochi,Palarivattom,Ice Cream,3.822264031240087,3.9631842584799433,0,0,35.833333333333336,12
Tellicherry Kitchen, Kochi,Vennala,Fast Food,3.822264031240087,3.8,0,0,299.09589041095893,146
Thaal Kitchen, Kochi,MG Road,Fast Food,4.1,3.7,126,0,162.81372549019608,306
The Hearth Kitchen, Kochi,Panampilly Nagar,Pizza,3.9,4.2,4,629,392.4509803921569,51
UBQ by Barbeque Nation, Kochi,Kacheripady,Desserts,3.822264031240087,3.6,0,0,438.49013157894734,304
Woodys Brook, Kochi,Palarivattom,Shake,3.822264031240087,4.0,0,0,294.75,28
Arsalan, Kolkata,Park Street Area,Seafood,3.9,4.2,0,0,375.5323383084577,201
Balaram Mullick & Radharaman Mullick Sweets, Kolkata,Theatre Road,Pizza,3.3,4.5,6,0,116.05035971223022,139
Barbeque Nation, Kolkata,New Market Area,Desserts,4.2,3.7,267,705,656.7478991596639,119
Barista Coffee, Kolkata,New Market Area,Desserts,3.2,3.9,290,272,214.12857142857143,140
Baskin Robbins Happyness Shakes, Kolkata,Girish Park,Beverages,3.6,4.2,0,8,242.3684210526316,19
Behrouz Biryani, Kolkata,Beliaghata,Pizza,3.822264031240087,4.1,0,0,609.2972972972973,333
Burger In Law, Kolkata,Kasba,Pizza,3.822264031240087,4.1,0,0,197.9,40
Burger King, Kolkata,New Market Area,Beverages,4.2,4.0,729,0,254.63289940828403,1352
Chowman, Kolkata,Hatibagan,Beverages,4.4,4.1,882,0,291.8337874659401,367
Domino's Pizza, Kolkata,Entally,Fast Food,3.9,3.9,563,0,305.0587038327526,1435
Dreams Cafe, Kolkata,Sector 4,Pizza,3.822264031240087,3.7,3,0,161.65322580645162,124
Eagle Bites Pizza, Kolkata,Ruby Hospital Area,Pizza,4.3,4.0,0,0,217.16438356164383,146
Edabba, Kolkata,Esplanade,Pizza,3.822264031240087,3.9,0,0,185.5191256830601,183
Fried Chicken Wala, Kolkata,Shibpur,Pizza,4.0,4.0,244,0,209.92857142857144,196
Golden Joy, Kolkata,Tangra,Pizza,4.2,4.2,0,0,228.11320754716985,53
Goutam's, Kolkata,Sector 1,Pizza,2.9,3.6,553,0,140.2941176470588,136
Grab Feast, Kolkata,Topsia,Pizza,3.822264031240087,3.7,0,461,111.0,46
HFC, Kolkata,Das Naagar,Pizza,3.9,3.9,1,270,193.06666666666663,15
Hatari, Kolkata,Bow Bazar,Pizza,3.8,4.2,43,166,357.1123595505618,356
I Love Haldiram, Kolkata,Park Street Area,Pizza,3.4,3.6,120,0,78.40600961538462,208
KFC, Kolkata,Sealdah Area,Beverages,4.1,4.1,181,0,349.67315579227693,751
Kathi Junction, Kolkata,Lake Town,Pizza,3.6,4.3,15,0,144.8913043478261,46
Keventers - Milkshakes & Desserts, Kolkata,New Market Area,Desserts,3.4,4.1,5,0,224.39866492146595,382
Khana Khazana, Kolkata,Dobson Road,Pizza,4.0,3.9,538,0,225.16501650165017,303
Kreamz, Kolkata,Hatibagan,Pizza,3.7,3.9,3,12,65.21153846153847,52
Kwality Wall's Frozen Dessert And Ice Cream Shop, Kolkata,College Street,Ice Cream,3.822264031240087,4.4,0,474,182.5609756097561,41
La Pino'z Pizza, Kolkata,Kankurgachi,Fast Food,3.6,3.8,26,944,216.2983870967742,868
Lazeez Biryani, Kolkata,Entally,Pizza,3.6,3.7,728,0,202.3181818181818,44
Mama Mia!, Kolkata,Entally,Pizza,3.822264031240087,4.4,0,0,320.02962962962965,135
Mezban, Kolkata,Wellesley,Pizza,3.8,3.9,0,0,235.9668874172185,151
Mitra Cafe, Kolkata,Shobha Bazar,Pizza,4.3,4.5,0,0,294.375,16
Momo I Am, Kolkata,City Centre 1,Pizza,4.4,4.3,0,0,310.2835051546392,194
New Paul Dhaba Veggie Hub, Kolkata,Maniktala,Pizza,3.9,4.0,447,0,183.7219512195122,205
Noodle King, Kolkata,Picnic Garden,Pizza,3.822264031240087,3.7,0,0,180.7792207792208,154
Oudh 1590, Kolkata,Sector 1,Desserts,4.2,4.1,0,0,348.9779005524862,181
Oudh 1590, Kolkata,Sector 1,Pizza,4.2,4.1,0,0,348.9779005524862,181
Peaberrys, Kolkata,Esplanade,Pizza,3.822264031240087,4.3,0,77,278.6363636363636,99
Pizza Hut, Kolkata,Esplanade,Fast Food,3.822264031240087,3.7,0,30,287.27036211699163,1077
Pizza Wala, Kolkata,Shalimar,Pizza,3.822264031240087,3.7,0,0,231.7619047619048,42
Raasta Cafe, Kolkata,Dobson Road,Pizza,4.0,4.0,450,0,135.41525423728814,236
Raffs F9, Kolkata,Ultadanga,Pizza,3.7,3.7,0,10,197.06796116504853,103
Rang De Basanti Dhaba, Kolkata,Kankurgachi,Pizza,4.2,4.1,506,0,244.6978021978022,182
Rollick, Kolkata,Park Street Area,Pizza,4.0,4.3,444,0,137.29090909090908,55
Rosy Roti, Kolkata,Kankurgachi,Pizza,3.822264031240087,4.2,0,337,170.46938775510205,98
Roy Dhaba, Kolkata,Picnic Garden,Pizza,3.2,3.9,11,0,203.4808743169399,183
Roy Pizza House, Kolkata,Sector 4,Pizza,3.822264031240087,3.7,0,0,183.85321100917432,109
Royal Indian Hotel  - Since 1905, Kolkata,Bara Bazar,Pizza,4.2,4.1,0,0,301.90140845070425,71
Safe House, Kolkata,Sector 4,Pizza,3.822264031240087,3.6,0,0,176.68421052631578,114
Saima Restaurant, Kolkata,Chowringhee,Pizza,3.4,4.1,428,0,142.5109489051095,137
Shawarma Nation, Kolkata,City Centre 1,Pizza,4.0,4.3,176,0,238.29032258064515,93
Sher-E-Punjab, Kolkata,Theatre Road,Pizza,3.3,3.7,310,0,274.80645161290323,310
Shiraz Golden Restaurant, Kolkata,Park Street Area,Pizza,4.1,4.0,0,0,273.21276595744683,141
Sip 'N' Bite's, Kolkata,Dobson Road,Pizza,3.822264031240087,3.7,1,0,162.392,125
Subway, Kolkata,Theatre Road,Beverages,3.7,4.2,181,0,245.1002430133657,823
Super Star Hazi Biryani, Kolkata,Sector 4,Pizza,3.3,3.4,34,0,169.24324324324326,37
Taj Biryani, Kolkata,Entally,Pizza,3.9,3.6,427,0,142.28,25
Tea Junction, Kolkata,New Market Area,Pizza,3.1,3.9,109,680,203.5185185185185,54
The Bahubelly, Kolkata,Kankurgachi,Pizza,3.4,3.8,98,0,297.42424242424244,132
The Biryani Inc., Kolkata,Kasba,Pizza,3.822264031240087,4.1,0,0,233.8090909090909,110
The Burping Panda, Kolkata,Park Circus Area,Pizza,3.822264031240087,3.9,0,0,151.44979919678715,249
Veggie Corner, Kolkata,Liluah,Pizza,3.8,3.9,553,0,144.56896551724137,174
WFC - Wow Fried Chicken, Kolkata,Dum Dum,Pizza,3.1,3.8,66,0,199.9090909090909,44
WOW! China, Kolkata,Park Street Area,Desserts,4.4,3.8,0,0,256.0793926247289,461
WOW! Momo, Kolkata,Sealdah Area,Fast Food,3.7,4.2,66,0,192.7151861702128,376
Zam Zam Restaurant, Kolkata,Park Circus Area,Pizza,4.2,4.3,0,0,174.32380952380953,105
Al Baik Xpress, Lucknow,Khurram Nagar,Sandwich,3.2,3.6,97,0,217.9406779661017,118
Alibaba, Lucknow,Khurram Nagar,Momos,3.822264031240087,3.9,0,0,141.64444444444445,90
Balle Balle Delhi Wale Soya Chaap Zone, Lucknow,Gomti Nagar,Street Food,4.1,4.0,214,0,175.87777777777777,90
Billu Tandooria, Lucknow,Gomti Nagar,Fast Food,4.2,4.1,28,0,221.10884353741497,147
Bombay Natural's Pizza & Soya Chaap, Lucknow,Hazratganj,Street Food,4.1,3.7,58,0,173.96907216494844,97
Chung Fa Restaurant, Lucknow,Mahanagar,Fast Food,4.1,4.0,586,355,369.9465240641711,187
Craving Bites, Lucknow,Rajajipuram,Street Food,3.822264031240087,3.7,0,0,140.47368421052633,95
D Pizza Club, Lucknow,Rajajipuram,Desserts,3.9,3.8,488,0,232.8828125,128
Dastarkhwan, Lucknow,Kaiserbagh,Awadhi,4.5,4.0,0,0,200.125,56
Deva Food Mart, Lucknow,Aliganj,North Indian,4.0,4.4,560,0,190.2032520325204,123
Goli Vadapav No.1, Lucknow,Aliganj,Beverages,2.8,4.2,56,975,138.77777777777777,27
Grandson Of Tunday Kababi, Lucknow,Sahara Ganj Mall,Biryani,4.0,3.7,443,0,201.62222222222223,45
Home Town Pizza, Lucknow,Triveni Nagar,Pizza,3.822264031240087,3.9,0,65,101.07894736842104,38
Hot Pizza Ace, Lucknow,Gomti Nagar,Shake,3.822264031240087,3.6,0,0,214.59375,192
Hotel Lazeez Al Darbar, Lucknow,Chowk,Biryani,4.0,4.0,330,0,138.90196078431373,51
Kuduk Chicken, Lucknow,Chowk,Burger,3.9,4.1,60,0,308.76666666666665,180
Kuduk Chicken, Lucknow,Gomti Nagar,Fast Food,4.2,4.1,309,869,308.76666666666665,180
LA'Pizza Club, Lucknow,Jankipuram,Beverages,3.822264031240087,4.0,0,0,157.10256410256412,39
Lalla Biryani - Since 1985, Lucknow,Chowk,Mughlai,3.822264031240087,4.0,0,0,140.83333333333334,6
Madhurima Veg, Lucknow,Gomti Nagar,Beverages,4.0,4.2,897,0,258.9361111111112,270
Maharaja Restaurant, Lucknow,Charbagh,Chinese,3.2,3.5,67,0,167.98507462686567,201
Mishra Bhojanalaya, Lucknow,Chowk,Chinese,3.8,3.7,94,0,97.97391304347826,115
Mr. Brown - Danbro, Lucknow,Nirala Nagar,Coffee,3.822264031240087,4.2,0,789,245.0159340659341,273
Muradabadi Chicken Biryani, Lucknow,Chowk,Biryani,3.7,3.8,17,0,280.7368421052632,19
Neelkanth Sweets, Lucknow,Gomti Nagar,Beverages,4.2,4.3,779,0,287.5467032967033,364
Nukkad Cafe, Lucknow,Aliganj,Beverages,3.822264031240087,4.2,0,0,92.4,60
Old Al - Baik, Lucknow,Lalbagh,Beverages,3.822264031240087,3.9,0,773,167.78787878787878,66
PVR Café, Lucknow,Hazratganj,Beverages,3.822264031240087,4.0,0,65,232.39493827160496,81
Pawan Sweet & Bhojnalay, Lucknow,Indira Nagar,Chinese,3.3,3.9,13,0,191.06024096385545,83
Pizza Cave, Lucknow,Chowk,Beverages,3.7,4.1,205,0,192.05194805194805,77
Pizza Pandey, Lucknow,Gomti Nagar,Fast Food,3.822264031240087,3.4,0,345,205.87755102040816,49
Pizza Pie, Lucknow,Rajajipuram,Pizza,3.822264031240087,3.7,0,870,246.13953488372093,86
Pizza Pool, Lucknow,Rajajipuram,Pasta,4.2,4.0,71,0,174.4,65
Pizza Potter, Lucknow,Aliganj,Pizza,4.2,3.8,70,0,171.26315789473685,38
Pizza Wizza, Lucknow,Rajajipuram,Pizza,3.822264031240087,3.8,0,0,143.56565656565655,99
Pizzaport & Cafe, Lucknow,Aliganj,Burger,3.8,3.8,448,0,255.11510791366908,139
Pizzatarian, Lucknow,Aliganj,American,3.9,3.7,4,48,247.5,40
Radhey Lal Sweets, Lucknow,Aliganj,Chinese,3.4,4.1,261,0,304.848,140
Rattilal's - Sitapur Road, Lucknow,Aliganj,Desserts,3.2,3.7,69,0,127.0720430107527,93
Richi Rich, Lucknow,Aliganj,Street Food,3.5,4.1,320,0,284.1481481481481,216
Roasties, Lucknow,Chowk,Biryani,3.7,3.8,24,221,190.1153846153846,52
Rolls Mania, Lucknow,Gomti Nagar,North Indian,3.822264031240087,3.9,0,0,200.80438902743143,401
Rominus Pizza And Burger, Lucknow,Jopling Road,Fast Food,4.1,4.1,149,0,307.86444924406044,463
Royalz Pepper, Lucknow,Aliganj,Desserts,3.6,3.8,245,532,153.63636363636363,22
Sharma Chai, Lucknow,Lalbagh,Street Food,3.822264031240087,4.2,0,0,96.58594339622644,106
Sharma Ji Ki Chai, Lucknow,Lalbagh,Tea,3.822264031240087,4.4,0,0,61.42857142857143,14
Spice Village, Lucknow,Gomti Nagar,Street Food,4.2,3.8,108,0,234.4820143884892,278
